 ,ng,b,p,m,f,d,t,n,l,g,k,h,z,c,s
 ,91,0,0,56,5,0,0,1,0,0,0,1,2,0,0,663
ㄅ,0,224,23,3,1,0,0,0,0,0,0,0,0,0,0,0
ㄆ,0,21,157,0,0,0,0,0,0,0,0,0,0,0,0,0
ㄇ,0,2,0,210,0,0,0,2,0,0,0,0,0,0,0,0
ㄈ,0,1,2,0,146,0,0,0,0,0,0,0,0,0,0,0
ㄉ,1,0,0,0,0,268,19,0,0,0,0,0,1,0,1,0
ㄊ,0,0,0,1,0,10,214,0,0,0,0,0,0,1,0,0
ㄋ,6,0,0,0,0,0,0,105,2,0,0,0,1,0,0,10
ㄌ,1,0,0,0,0,1,0,1,378,1,0,0,0,0,1,5
ㄍ,1,0,0,0,1,0,0,0,1,196,17,2,0,0,0,2
ㄎ,1,0,1,0,19,0,0,0,0,15,61,64,0,0,0,8
ㄏ,0,0,0,0,34,0,0,0,0,4,12,97,0,0,0,113
ㄐ,0,0,0,0,3,0,0,0,2,275,43,10,91,4,5,0
ㄑ,1,0,0,0,0,0,0,0,0,16,82,39,6,78,4,9
ㄒ,1,0,0,0,14,0,0,1,0,2,5,120,15,15,114,35
ㄓ,0,0,0,0,0,3,0,1,0,0,0,0,285,10,5,3
ㄔ,0,0,0,0,0,0,1,0,0,0,0,1,15,160,32,0
ㄕ,0,0,0,0,0,0,0,0,1,0,0,2,5,13,233,0
ㄖ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70
ㄗ,0,0,0,0,0,1,0,0,0,0,0,0,119,4,0,0
ㄘ,0,0,0,0,0,0,0,0,0,0,0,0,4,109,15,0
ㄙ,0,0,0,0,0,0,0,0,0,0,0,0,11,4,103,0
